GEOID20,CNTY,vtd6,Name
48165000007,165,000007,000007
48453000443,453,000443,000443
48453000259,453,000259,000259
48453000338,453,000338,000338
48453000128,453,000128,000128
48453000328,453,000328,000328
48335000025,335,000025,000025
48453000316,453,000316,000316
48369000302,369,000302,0302
48453000208,453,000208,000208
4803300002B,33,00002B,00002B
48453000359,453,000359,000359
48277002B2A,277,002B2A,002B2A
48453000248,453,000248,000248
48453000369,453,000369,000369
48453000229,453,000229,000229
48453000308,453,000308,000308
48453000317,453,000317,000317
48453000148,453,000148,000148
48453000129,453,000129,000129
48453000219,453,000219,000219
48483000009,483,000009,000009
482130004PF,213,0004PF,0004PF
48423000080,423,000080,000080
48129000102,129,000102,000102
48483000002,483,000002,000002
48113002941,113,002941,002941
482130004BV,213,0004BV,0004BV
48113002924,113,002924,002924
48113002073,113,002073,002073
48453000409,453,000409,000409
48453000442,453,000442,000442
48453000407,453,000407,000407
4827700001G,277,00001G,00001G
4827700001B,277,00001B,00001B
48113001022,113,001022,001022
48113001503,113,001503,001503
48231000215,231,000215,0215
48335000046,335,000046,000046
48113001074,113,001074,001074
48113001032,113,001032,001032
48483000003,483,000003,000003
48113004637,113,004637,004637
48113001011,113,001011,001011
48097000034,97,000034,000034
48015000416,15,000416,000416
4831100004A,311,00004A,004A
48387000003,387,000003,000003
48387000021,387,000021,000021
48395000007,395,000007,0007
4803300003B,33,00003B,00003B
484990001-3,499,0001-3,0001-3
4831100002A,311,00002A,002A
48429004-19,429,004-19,004-19
48429003-19,429,003-19,003-19
48429001-11,429,001-11,001-11
4803300003A,33,00003A,00003A
48231000214,231,000214,0214
48305000007,305,000007,000007
48217000022,217,000022,000022
48217000020,217,000020,000020
48217000021,217,000021,000021
48217000024,217,000024,000024
48217000015,217,000015,000015
48217000027,217,000027,000027
48217000014,217,000014,000014
48347000023,347,000023,000023
48015000418,15,000418,000418
48429004-11,429,004-11,004-11
48113001500,113,001500,001500
48113003407,113,003407,003407
48279000007,279,000007,0007
484990004-2,499,0004-2,0004-2
484990004-3,499,0004-3,0004-3
484990002-2,499,0002-2,0002-2
484990001-1,499,0001-1,0001-1
484990002-3,499,0002-3,0002-3
48429003-11,429,003-11,003-11
48445000102,445,000102,000102
484990003-3,499,0003-3,0003-3
48305000011,305,000011,000011
4815300024B,153,00024B,00024B
48113002929,113,002929,002929
48113002068,113,002068,002068
48113003405,113,003405,003405
48097000014,97,000014,000014
48285000026,285,000026,0026
48285000032,285,000032,0032
48153000009,153,000009,000009
48285000027,285,000027,0027
48153000024,153,000024,000024
48149000002,149,000002,0002
4814900001N,149,00001N,001N
48113003409,113,003409,003409
48153000023,153,000023,000023
48153000018,153,000018,000018
48097000037,97,000037,000037
48483000008,483,000008,000008
48483000004,483,000004,000004
48217000018,217,000018,000018
48399000002,399,000002,0002
48145000105,145,000105,000105
48187000403,187,000403,000403
48187000411,187,000411,000411
48329000212,329,000212,000212
48273000045,273,000045,000045
48187000301,187,000301,000301
48187000302,187,000302,000302
48483000001,483,000001,000001
48485000412,485,000412,000412
484990001-2,499,0001-2,0001-2
48145000304,145,000304,000304
48145000204,145,000204,000204
48493000310,493,000310,000310
48491000423,491,000423,000423
48491000190,491,000190,000190
48367000425,367,000425,000425
48485000413,485,000413,000413
48149000017,149,000017,0017
48453000149,453,000149,000149
48149000013,149,000013,0013
4814900001E,149,00001E,001E
48149000011,149,000011,0011
48149000014,149,000014,0014
48209000420,209,000420,000420
48025000014,25,000014,0014
48057000025,57,000025,000025
48057000024,57,000024,000024
4814900001W,149,00001W,001W
48149000008,149,000008,0008
4828900005A,289,00005A,00005A
48113001038,113,001038,001038
48113001014,113,001014,001014
48113002928,113,002928,002928
48113003302,113,003302,003302
48113001023,113,001023,001023
48113001073,113,001073,001073
48491000172,491,000172,000172
48113001075,113,001075,001075
48407000014,407,000014,000014
48209000317,209,000317,000317
48209000419,209,000419,000419
48291000010,291,000010,000010
48291000014,291,000014,000014
48291000001,291,000001,000001
48149000003,149,000003,0003
48149000006,149,000006,0006
4828900001A,289,00001A,00001A
48113003303,113,003303,003303
48113001009,113,001009,001009
48113002066,113,002066,002066
48291000012,291,000012,000012
48113001131,113,001131,001131
48387000013,387,000013,000013
48145000404,145,000404,000404
48057000012,57,000012,000012
48113002926,113,002926,002926
48113002923,113,002923,002923
48113001010,113,001010,001010
48113001020,113,001020,001020
48113002070,113,002070,002070
48113002063,113,002063,002063
48113002062,113,002062,002062
48113004032,113,004032,004032
48113001021,113,001021,001021
48113003300,113,003300,003300
48113004102,113,004102,004102
48113001037,113,001037,001037
48113003301,113,003301,003301
48291000005,291,000005,000005
484990004-4,499,0004-4,0004-4
48113001033,113,001033,001033
484990003-2,499,0003-2,0003-2
48161000014,161,000014,0014
48113002061,113,002061,002061
4828900014A,289,00014A,00014A
48285000020,285,000020,0020
48453000429,453,000429,000429
48453000108,453,000108,000108
48113004635,113,004635,004635
48113002071,113,002071,002071
48113003404,113,003404,003404
48149000009,149,000009,0009
48149000005,149,000005,0005
48453000441,453,000441,000441
48491000463,491,000463,000463
48055000113,55,000113,000113
48113001026,113,001026,001026
48113001030,113,001030,001030
48429002-19,429,002-19,002-19
48113003408,113,003408,003408
48113004647,113,004647,004647
48113001036,113,001036,001036
48113001071,113,001071,001071
48113002702,113,002702,002702
48453000309,453,000309,000309
48167000347,167,000347,000347
48389000001,389,000001,000001
48097000035,97,000035,000035
48305000014,305,000014,000014
48483000010,483,000010,000010
48305000008,305,000008,000008
48429002-11,429,002-11,002-11
48217000016,217,000016,000016
48493000208,493,000208,000208
48389000012,389,000012,000012
